genus	date	val	type
Leptospira	2011-08-29	4.67482724305342	MG
Leptospira	2011-09-05	3.676861721675982	MG
Leptospira	2011-09-12	3.1510392901538946	MG
Leptospira	2011-09-19	2.776764278213803	MG
Leptospira	2011-09-28	0.24752573053439683	MG
Leptospira	2011-10-05	0.24658605539424278	MG
Leptospira	2011-10-12	0.2499614125713488	MG
Leptospira	2011-11-02	5.735274881613171	MG
Leptospira	2011-11-07	8.235054897655807	MG
Leptospira	2011-11-16	23.612672246223376	MG
Leptospira	2011-11-23	32.669274649714986	MG
Leptospira	2011-11-29	23.817712739283973	MG
Leptospira	2011-12-21	8.742552509629105	MG
Leptospira	2011-12-28	7.027047660959909	MG
Leptospira	2012-01-03	7.472653800245446	MG
Leptospira	2012-01-11	7.590580657403994	MG
Leptospira	2012-01-19	8.50635800646447	MG
Leptospira	2012-01-25	7.057329335678043	MG
Leptospira	2012-02-01	6.306101442994478	MG
Leptospira	2012-02-08	5.885826548729324	MG
Leptospira	2012-02-14	2.8571248323408343	MG
Leptospira	2012-02-23	2.304031350954332	MG
Leptospira	2012-02-29	2.3343440208479382	MG
Leptospira	2012-03-08	1.9108649229042598	MG
Leptospira	2012-03-14	2.3539352561742897	MG
Leptospira	2012-03-22	1.6663665660132432	MG
Leptospira	2012-03-28	3.5105876920940586	MG
Leptospira	2012-04-04	4.722632477609253	MG
Leptospira	2012-04-10	4.928142951395671	MG
Leptospira	2012-04-17	5.604022828446415	MG
Leptospira	2012-04-25	6.657384488981568	MG
Leptospira	2012-05-03	5.133792905498453	MG
mean abundance < 2%	2011-03-21	11.725794969862989	MG
mean abundance < 2%	2011-03-29	12.61220115124594	MG
mean abundance < 2%	2011-04-05	10.576670796323432	MG
mean abundance < 2%	2011-04-14	11.99307201073267	MG
mean abundance < 2%	2011-04-21	10.9255060436559	MG
mean abundance < 2%	2011-04-29	11.338355705113871	MG
mean abundance < 2%	2011-05-06	10.73969668929818	MG
mean abundance < 2%	2011-05-13	12.446238035030518	MG
mean abundance < 2%	2011-05-20	13.947046807237596	MG
mean abundance < 2%	2011-05-27	12.755761385801867	MG
mean abundance < 2%	2011-06-03	10.74052193631455	MG
mean abundance < 2%	2011-06-09	12.618266814951395	MG
mean abundance < 2%	2011-06-17	14.59034375703168	MG
mean abundance < 2%	2011-06-24	13.933304048335925	MG
mean abundance < 2%	2011-07-01	17.801602158575022	MG
mean abundance < 2%	2011-07-08	16.50702999425813	MG
