KO	FunC_1	FunC_2	FunC_3	FunC_4
K15011	1	0	1	1
K10536	1	1	1	1
K02356	1	1	1	1
K01843	1	1	1	1
K03584	1	1	1	1
K01664	1	1	1	1
K04565	1	1	1	1
K07486	1	1	1	1
K01775	1	1	1	1
K01916	1	1	1	0
K15520	1	0	1	1
K02517	1	1	1	1
K00940	1	1	1	1
K06941	1	1	1	1
K09017	1	1	1	1
K02501	1	1	1	1
K01814	1	1	1	1
K02500	1	1	1	1
K00817	1	1	1	1
K02301	1	1	1	1
K03655	1	1	1	1
K01139	1	1	1	1
K09022	1	1	1	1
K00341	1	1	1	1
K00340	1	1	1	1
K00339	1	1	1	1
K07114	1	1	1	1
K00265	1	1	1	1
K07749	1	1	1	1
K07076	1	1	1	1
K19222	1	1	1	0
K18844	1	0	1	0
K07303	1	0	1	1
K03687	1	1	1	1
